연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
241,2,203,을지로3가(2),역구내조명광고,4,브랜드발전소,2024-11-28
242,2,203,을지로3가(2),역구내포스터,0,브랜드발전소,2024-11-28
243,2,203,을지로3가(2),멀티비젼,3,나스미디어,2024-11-28
244,2,203,을지로3가(2),디지털포스터,0,브랜드발전소,2024-11-28
245,2,203,을지로3가(2),기둥조명,0,전홍,2024-11-28
246,2,203,을지로3가(2),승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
247,2,203,을지로3가(2),승강장매립형,0,,2024-11-28
248,2,203,을지로3가(2),공간활용 프로모션,0,전홍,2024-11-28
249,2,203,을지로3가(2),승강장음성광고,0,양진텔레콤,2024-11-28
250,2,203,을지로3가(2),디지털종합안내도_디지털,11,싸인텔레콤,2024-11-28
251,2,203,을지로3가(2),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
252,2,203,을지로3가(2),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
253,2,203,을지로3가(2),스마트 정보 안내시스템,0,,2024-11-28
254,2,203,을지로3가(2),디지털보드,7,씨에스와이커뮤니케이션,2024-11-28
255,2,203,을지로3가(2),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
256,2,203,을지로3가(2),승강장안전문 광고(민자)_일반형,114,유진메트로컴,2024-11-28
257,2,203,을지로3가(2),승강장안전문 광고(민자)_난간형,160,유진메트로컴,2024-11-28
258,2,203,을지로3가(2),승강장안전문 광고(민자)_동영상,4,유진메트로컴,2024-11-28
259,2,203,을지로3가(2),역구내행선안내게시기,14,비츠로미디어,2024-11-28
260,2,203,을지로3가(2),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
261,2,204,을지로4가(2),역구내조명광고,4,브랜드발전소,2024-11-28
262,2,204,을지로4가(2),역구내포스터,1,브랜드발전소,2024-11-28
263,2,204,을지로4가(2),멀티비젼,0,나스미디어,2024-11-28
264,2,204,을지로4가(2),디지털포스터,0,브랜드발전소,2024-11-28
265,2,204,을지로4가(2),기둥조명,0,전홍,2024-11-28
266,2,204,을지로4가(2),승강장안전문 조명(민자제외),4,에스엘엠엔씨,2024-11-28
267,2,204,을지로4가(2),승강장매립형,0,,2024-11-28
268,2,204,을지로4가(2),공간활용 프로모션,0,전홍,2024-11-28
269,2,204,을지로4가(2),승강장음성광고,0,양진텔레콤,2024-11-28
270,2,204,을지로4가(2),디지털종합안내도_디지털,12,싸인텔레콤,2024-11-28
271,2,204,을지로4가(2),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
272,2,204,을지로4가(2),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
273,2,204,을지로4가(2),스마트 정보 안내시스템,0,,2024-11-28
274,2,204,을지로4가(2),디지털보드,2,씨에스와이커뮤니케이션,2024-11-28
275,2,204,을지로4가(2),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
276,2,204,을지로4가(2),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
277,2,204,을지로4가(2),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
278,2,204,을지로4가(2),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
279,2,204,을지로4가(2),역구내행선안내게시기,17,비츠로미디어,2024-11-28
